./2017/2017-01-01/345201.xml
东	0	['荒庄-0']		荒庄
0	['J2','B8','W5','T3','W8','B6','T5','T7','T1','T4','W4','T6','F3']	0
1	['B4','F2','F2','W2','W3','F2','B2','W4','W8','B8','T3','B6','B5']	2
2	['B7','B3','F2','B7','W3','W1','J2','W7','T1','J3','W5','T6','W9']	2
3	['B8','F1','T4','T2','F3','W6','J2','T1','T5','J3','B9','B1','B2','W4']	1
3	打牌	['F1']	
0	摸牌	['F1']	
0	打牌	['F1']	
1	摸牌	['B2']	
1	打牌	['T3']	
2	摸牌	['T6']	
2	打牌	['F2']	
3	摸牌	['T8']	
3	打牌	['J3']	
0	摸牌	['W5']	
0	打牌	['J2']	
1	摸牌	['W1']	
1	打牌	['W8']	
2	摸牌	['B4']	
2	打牌	['J3']	
3	摸牌	['J1']	
3	打牌	['J1']	
0	摸牌	['B5']	
0	打牌	['F3']	
1	摸牌	['B6']	
1	打牌	['W1']	
2	摸牌	['T5']	
2	打牌	['J2']	
3	摸牌	['W1']	
3	打牌	['J2']	
0	摸牌	['T9']	
0	打牌	['W8']	
1	摸牌	['T3']	
1	打牌	['B8']	
2	摸牌	['J3']	
2	打牌	['J3']	
3	摸牌	['J1']	
3	打牌	['J1']	
0	摸牌	['T8']	
0	打牌	['B8']	
1	摸牌	['H6']	
1	补花	['H6']	
1	补花后摸牌	['W3']	
1	打牌	['W3']	
2	摸牌	['T4']	
2	打牌	['T1']	
3	摸牌	['B5']	
3	打牌	['F3']	
0	摸牌	['F4']	
0	打牌	['F4']	
1	摸牌	['T2']	
1	打牌	['B6']	
2	摸牌	['W4']	
2	打牌	['W1']	
3	摸牌	['T7']	
3	打牌	['W1']	
0	摸牌	['W2']	
0	打牌	['W2']	
1	摸牌	['W7']	
1	打牌	['B2']	
2	摸牌	['W6']	
2	打牌	['W9']	
3	摸牌	['J3']	
3	打牌	['J3']	
0	摸牌	['B3']	
0	打牌	['B3']	
1	吃	['B2','B3','B4']	B3	0
1	打牌	['W7']	
2	摸牌	['B4']	
2	打牌	['B4']	
3	摸牌	['H1']	
3	补花	['H1']	
3	补花后摸牌	['B6']	
3	打牌	['W6']	
0	摸牌	['B5']	
0	打牌	['B6']	
1	摸牌	['B9']	
1	打牌	['B9']	
2	摸牌	['T7']	
2	打牌	['B4']	
3	吃	['B4','B5','B6']	B4	2
3	打牌	['W4']	
0	摸牌	['B4']	
0	打牌	['B4']	
1	吃	['B4','B5','B6']	B4	0
1	打牌	['F2']	
2	摸牌	['J1']	
2	打牌	['J1']	
3	摸牌	['T5']	
3	打牌	['T1']	
1	和牌	['T1']	T1	3
0	摸牌	['T6']	
0	打牌	['T6']	
1	摸牌	['T1']	
1	打牌	['W2']	
2	摸牌	['B8']	
2	打牌	['B8']	
3	摸牌	['W2']	
3	打牌	['T2']	
0	吃	['T1','T2','T3']	T2	3
0	打牌	['W5']	
1	摸牌	['W3']	
1	打牌	['T2']	
2	摸牌	['B1']	
2	打牌	['B1']	
3	摸牌	['B3']	
3	打牌	['W2']	
0	摸牌	['B3']	
0	打牌	['B3']	
1	摸牌	['T8']	
1	打牌	['T1']	
2	摸牌	['W7']	
2	打牌	['B3']	
3	摸牌	['W5']	
3	打牌	['W5']	
0	摸牌	['B9']	
0	打牌	['B9']	
1	摸牌	['T9']	
1	打牌	['F2']	
2	摸牌	['T2']	
2	打牌	['T2']	
3	摸牌	['W9']	
3	打牌	['W9']	
0	摸牌	['T3']	
0	打牌	['T3']	
1	摸牌	['T7']	
1	打牌	['T3']	
2	摸牌	['F1']	
2	打牌	['F1']	
3	摸牌	['B7']	
3	打牌	['T4']	
0	摸牌	['B7']	
0	打牌	['B7']	
1	摸牌	['F4']	
1	打牌	['F2']	
2	摸牌	['B9']	
2	打牌	['B9']	
3	摸牌	['F1']	
3	打牌	['F1']	
0	摸牌	['F3']	
0	打牌	['F3']	
1	摸牌	['W6']	
1	打牌	['F4']	
2	摸牌	['T9']	
2	打牌	['W7']	
3	摸牌	['W1']	
3	打牌	['W1']	
0	摸牌	['H7']	
0	补花	['H7']	
0	补花后摸牌	['J2']	
0	打牌	['J2']	
1	摸牌	['W2']	
1	打牌	['W2']	
2	摸牌	['T8']	
2	打牌	['W7']	
3	摸牌	['W9']	
3	打牌	['W9']	
0	摸牌	['W7']	
0	打牌	['W7']	
1	摸牌	['J1']	
1	打牌	['J1']	
2	摸牌	['B2']	
2	打牌	['B2']	
3	摸牌	['B1']	
3	打牌	['B1']	
0	摸牌	['F4']	
0	打牌	['F4']	
1	摸牌	['T9']	
1	打牌	['T9']	
2	摸牌	['B1']	
2	打牌	['T9']	
3	摸牌	['T2']	
3	打牌	['T2']	
0	摸牌	['W9']	
0	打牌	['W9']	
1	摸牌	['W8']	
1	打牌	['T9']	
2	摸牌	['F3']	
2	打牌	['F3']	
3	摸牌	['T4']	
3	打牌	['T4']	
0	摸牌	['F4']	
0	打牌	['F4']	
1	摸牌	['W8']	
1	打牌	['W8']	
2	摸牌	['W6']	
2	打牌	['B1']	
