./2017/2017-01-01/344229.xml
东	0	['荒庄-0']		荒庄
0	['W5','W7','B3','W9','T4','B4','F4','B5','T6','F4','F3','T7','T3']	0
1	['F4','T8','T8','J2','W6','F2','T5','J1','B7','W8','T1','T6','T5']	0
2	['B7','W1','B6','W8','T3','W5','W2','T9','T1','W4','W1','B1','T7','B4']	1
3	['T8','B9','W3','T2','W6','W6','T1','B8','T2','W9','T7','J1','W3']	2
2	打牌	['B1']	
3	摸牌	['T2']	
3	打牌	['J1']	
0	摸牌	['B3']	
0	打牌	['F3']	
1	摸牌	['J2']	
1	打牌	['J1']	
2	摸牌	['F4']	
2	打牌	['F4']	
3	摸牌	['W7']	
3	打牌	['T1']	
0	摸牌	['J3']	
0	打牌	['J3']	
1	摸牌	['W4']	
1	打牌	['F4']	
2	摸牌	['T9']	
2	打牌	['B4']	
3	摸牌	['B9']	
3	打牌	['W9']	
0	摸牌	['J3']	
0	打牌	['J3']	
1	摸牌	['B8']	
1	打牌	['F2']	
2	摸牌	['W6']	
2	打牌	['W6']	
3	摸牌	['T9']	
3	打牌	['T9']	
0	摸牌	['T6']	
0	打牌	['W9']	
1	摸牌	['B2']	
1	打牌	['T1']	
2	摸牌	['W7']	
2	打牌	['T1']	
3	摸牌	['W1']	
3	打牌	['W1']	
0	摸牌	['J3']	
0	打牌	['J3']	
1	摸牌	['W5']	
1	打牌	['B2']	
2	摸牌	['B9']	
2	打牌	['T3']	
3	摸牌	['B1']	
3	打牌	['B1']	
0	摸牌	['T4']	
0	打牌	['B3']	
1	摸牌	['W8']	
1	打牌	['T5']	
2	摸牌	['J1']	
2	打牌	['J1']	
3	摸牌	['F2']	
3	打牌	['F2']	
0	摸牌	['B2']	
0	打牌	['B2']	
1	摸牌	['F3']	
1	打牌	['F3']	
2	摸牌	['H3']	
2	补花	['H3']	
2	补花后摸牌	['T6']	
2	打牌	['T6']	
0	碰	['T6','T6','T6']	T6	2
0	打牌	['T3']	
1	摸牌	['B7']	
1	打牌	['B7']	
2	摸牌	['B5']	
2	打牌	['B5']	
3	摸牌	['J1']	
3	打牌	['J1']	
0	摸牌	['B7']	
0	打牌	['T7']	
1	吃	['T5','T6','T7']	T7	0
1	打牌	['J2']	
2	摸牌	['W2']	
2	打牌	['B6']	
3	摸牌	['F2']	
3	打牌	['F2']	
0	摸牌	['H1']	
0	补花	['H1']	
0	补花后摸牌	['W7']	
0	打牌	['B7']	
1	摸牌	['W2']	
1	打牌	['J2']	
2	摸牌	['B6']	
2	打牌	['B6']	
3	摸牌	['T8']	
3	打牌	['T2']	
0	摸牌	['B3']	
0	打牌	['B3']	
1	摸牌	['F1']	
1	打牌	['F1']	
2	摸牌	['B8']	
2	打牌	['T9']	
3	摸牌	['T4']	
3	打牌	['T7']	
0	摸牌	['B9']	
0	打牌	['B9']	
1	摸牌	['F3']	
1	打牌	['F3']	
2	摸牌	['W8']	
2	打牌	['W8']	
1	碰	['W8','W8','W8']	W8	2
1	打牌	['W2']	
2	摸牌	['F3']	
2	打牌	['F3']	
3	摸牌	['T1']	
3	打牌	['T1']	
0	摸牌	['W1']	
0	打牌	['W1']	
1	摸牌	['F1']	
1	打牌	['F1']	
2	摸牌	['W4']	
2	打牌	['W1']	
3	摸牌	['J2']	
3	打牌	['J2']	
0	摸牌	['W4']	
0	打牌	['W4']	
1	摸牌	['H7']	
1	补花	['H7']	
1	补花后摸牌	['W3']	
1	打牌	['W3']	
2	摸牌	['B5']	
2	打牌	['W1']	
3	摸牌	['T5']	
3	打牌	['T5']	
0	摸牌	['B3']	
0	打牌	['B3']	
1	摸牌	['B4']	
1	打牌	['B4']	
2	摸牌	['F2']	
2	打牌	['F2']	
3	摸牌	['J2']	
3	打牌	['J2']	
0	摸牌	['T7']	
0	打牌	['T7']	
1	摸牌	['F1']	
1	打牌	['F1']	
2	摸牌	['H8']	
2	补花	['H8']	
2	补花后摸牌	['W2']	
2	打牌	['W5']	
3	摸牌	['W9']	
3	打牌	['W9']	
0	摸牌	['B6']	
0	打牌	['B3']	
1	摸牌	['B2']	
1	打牌	['B2']	
2	摸牌	['B1']	
2	打牌	['W4']	
3	摸牌	['B5']	
3	打牌	['B5']	
0	摸牌	['T9']	
0	打牌	['T9']	
1	摸牌	['B4']	
1	打牌	['B4']	
2	摸牌	['B6']	
2	打牌	['W4']	
3	摸牌	['B2']	
3	打牌	['B2']	
0	摸牌	['B8']	
0	打牌	['B8']	
1	摸牌	['B1']	
1	打牌	['B1']	
2	摸牌	['J3']	
2	打牌	['J3']	
3	摸牌	['H5']	
3	补花	['H5']	
3	补花后摸牌	['F1']	
3	打牌	['F1']	
0	摸牌	['W3']	
0	打牌	['T4']	
1	摸牌	['W5']	
1	打牌	['W5']	
2	摸牌	['T3']	
2	打牌	['B1']	
3	摸牌	['T5']	
3	打牌	['T5']	
0	摸牌	['T2']	
0	打牌	['F4']	
1	摸牌	['T3']	
1	打牌	['T3']	
2	摸牌	['T4']	
2	打牌	['B5']	
3	摸牌	['W9']	
3	打牌	['T4']	
